DemandY,PriceX1,IndPriceX2,AdvExpX3,
7.3800,3.85,3.8000,5.50,
8.5100,3.75,4.0000,6.75,
9.5200,3.70,4.3000,7.25,
7.5000,3.70,3.7000,5.50,
9.3300,3.60,3.8500,7.00,
8.2800,3.60,3.8000,6.50,
8.7500,3.60,3.7500,6.75,
7.8700,3.80,3.8500,5.25,
7.1000,3.80,3.6500,5.25,
8.0000,3.85,4.0000,6.00,
7.8900,3.90,4.1000,6.50,
8.1500,3.90,4.0000,6.25,
9.1000,3.70,4.1000,7.00,
8.8600,3.75,4.2000,6.90,
8.9000,3.75,4.1000,6.80,
8.8700,3.80,4.1000,6.80,
9.2600,3.70,4.2000,7.10,
9.0000,3.80,4.3000,7.00,
8.7500,3.70,4.1000,6.80,
7.9500,3.80,3.7500,6.50,
7.6500,3.80,3.7500,6.25,
7.2700,3.75,3.6500,6.00,
8.0000,3.70,3.9000,6.50,
8.5000,3.55,3.6500,7.00,
8.7500,3.60,4.1000,6.80,
9.2100,3.65,4.2500,6.80,
8.2700,3.70,3.6500,6.50,
7.6700,3.75,3.7500,5.75,
7.9300,3.80,3.8500,5.80,
9.2600,3.70,4.2500,6.80,
